chembl_id,pref_name,MeanByChembl_id,ACVR1,ASXL1,ATG7,BCL10,BUB1B,CASP8,CCNE1,CDKN2A,CDKN2C,DNM2,HRAS,JAG1,MARK3,MUTYH,NBN,PPP2R1A,PREX2,RB1,SETD2,SMARCA4,TPR,TSC1,VAV1
CHEMBL1292,CLOFAZIMINE,5.944872003946952,6.129772638531697,5.811812266936694,5.798755861580309,6.3722980437101535,5.8425424234256855,6.308391969775842,6.37140013082343,6.371998320611927,6.221116754371822,5.789604837491085,6.073199566372587,5.788322556836724,5.788782029880023,5.788222788738199,5.824688866354319,5.794465368007463,5.865931434754569,5.802047743495347,5.7927212876284,5.8191342402420485,5.797003219013686,5.789144712976993,5.790699029220895
CHEMBL3989559,PANTOPRAZOLE SODIUM,5.940187555667491,6.46950046411916,5.902247394886621,5.865961030142005,5.99867898574709,5.74356232535817,5.684922694777658,5.968143758625971,5.993803983272392,6.48487245260742,5.814771526478478,6.414994694919501,5.798525985457776,5.808895259929172,5.792449252038859,5.926322498027375,5.850315307586779,5.980302716431913,5.874034335405747,5.838248579431619,5.917335086174351,5.861911301560654,5.811894817592842,5.822619329780722
CHEMBL477772,PAZOPANIB,5.9395081414312445,5.534478358506648,6.165066068721126,6.059660886495162,5.526923065590284,6.055871839298109,5.680623825151763,5.551254196752532,5.5310401748650415,5.527749875093357,6.047743624353276,5.670416487705956,6.050586270623184,6.048845401064457,6.051489488343504,6.232536060160016,6.044512701490976,6.352615691789872,6.087887440728169,6.045332391348958,6.205434153916372,6.043808554631425,6.048292767697816,6.0465179285906165
CHEMBL1201745,CHOLINE FENOFIBRATE,5.937672985637695,6.113912395951193,5.439426815453058,5.4479709479653415,7.65693008882954,5.514400214813044,7.773899715229565,7.69569464846923,7.666836912105444,6.347586058069186,5.452992298700236,5.931898529608546,5.463158407351596,5.456076082230664,5.467843785292018,5.459669967391704,5.448464948960649,5.530660274325696,5.446122166923182,5.449173004644956,5.449197295198794,5.448809018606401,5.454492077532072,5.451263016014892
CHEMBL2105395,OSPEMIFENE,5.936048719234839,5.714479738503679,5.962661073502655,6.048622365385246,5.522945557199656,6.357741557053352,5.359302422670449,5.5036560654341296,5.519684666680895,5.716331404630777,6.174038357145036,5.761082980854515,6.217382942591257,6.189810046231374,6.233423642581314,5.907151294744335,6.092386032685625,5.773289309893805,6.026146157704059,6.121698402595395,5.929678503281856,6.06024046283244,6.181856285858076,6.1555112723413705
CHEMBL215645,RIVASTIGMINE TARTRATE,5.93280563491001,6.256279331999193,6.013312741493258,6.005845397133896,5.63757416984008,5.894205174086412,5.271296536238893,5.593522366314856,5.631137824543645,5.98903558933954,5.982892219765266,6.194927837910388,5.9589053443832825,5.973336399645694,5.951218733568581,6.027570645125721,6.006898173934747,6.054308821265764,6.00573971926461,6.006567692108384,6.021300611015912,6.00602604067796,5.978063983586751,5.994564249687363
CHEMBL680,CEFACLOR ANHYDROUS,5.9304768787149955,5.000501533221489,6.24939074963862,6.305687016511314,5.078324000492053,6.358320191084663,5.128125778300073,5.087714300496676,5.07995975058503,4.911991222261944,6.3769822350430605,5.1799973718834575,6.392603376209272,6.386142356456567,6.389610624088703,6.191131182465151,6.329889133189813,6.03706303991027,6.291841819625968,6.346025017716031,6.219782076852285,6.312245326446851,6.381544194168505,6.366095913797068
CHEMBL2103837,TAFAMIDIS,5.928125641719633,5.672432975943584,5.97537098946463,5.963251817910665,5.819632056994855,5.913339988072323,6.437853455556831,5.911822340327319,5.835152604090644,5.599404961437576,5.949162505612604,5.737095267867226,5.944162327678469,5.94742275286095,5.941364214090598,5.981530552741464,5.958524327036864,5.996114564039253,5.966291068759056,5.955516858656426,5.979818859767519,5.961678655547406,5.94829670092923,5.95164991416603
CHEMBL1200813,ACEBUTOLOL HYDROCHLORIDE,5.927699194401435,5.646586709852246,6.130654706718072,6.174765235681885,5.117159291246368,6.197018873020141,5.20429416122821,5.138804129128934,5.119835254060625,5.513552465177351,6.224383903663555,5.758007852578903,6.221256331989138,6.225924073684531,6.218614897126889,6.106432859781283,6.190702724084942,6.043656948071259,6.166580947715261,6.201913280017734,6.11492673597528,6.178937999175783,6.227307099643606,6.215764991611006
CHEMBL1909288,TRIACETYLDIPHENOLISATIN,5.926564187621829,6.476660407331668,5.918398472642396,5.942010473116864,5.571924062060334,5.805930044082999,5.49161762972482,5.543653766216966,5.564753416113376,6.215011844841126,5.954050258301386,6.616025947637691,5.930065849201689,5.947035779210141,5.919308856541435,5.903950339538493,5.9572387890285405,5.89169961741805,5.935836763617105,5.960308891672324,5.909320599416456,5.945998405040172,5.951172479142306,5.95900362340571
